campaign_id,customer_id,campaign_name,campaign_date,channel,response,conversion,campaign_cost,attributed_revenue
CAMP_Threat_Intelligence_Demo_2047,CUST_0001,Threat_Intelligence_Demo,2022-10-02,Direct Mail,Clicked,False,213,2780
CAMP_Q2_2024_Feature_Launch_6326,CUST_0001,Q2_2024_Feature_Launch,2024-01-29,Phone,Opened,False,66,0
CAMP_Archive_Upgrade_Campaign_8198,CUST_0001,Archive_Upgrade_Campaign,2023-12-27,Email,Registered,False,142,0
CAMP_Q3_2024_Compliance_Focus_3005,CUST_0004,Q3_2024_Compliance_Focus,2023-05-10,Webinar,Opened,False,120,927
CAMP_Q1_2024_Security_Awareness_5133,CUST_0004,Q1_2024_Security_Awareness,2024-06-15,Email,Clicked,False,293,0
CAMP_New_Customer_Onboarding_5693,CUST_0004,New_Customer_Onboarding,2022-06-12,Direct Mail,Clicked,False,197,0
CAMP_Q3_2024_Compliance_Focus_2049,CUST_0005,Q3_2024_Compliance_Focus,2022-09-21,Email,Registered,False,419,0
CAMP_Q1_2024_Security_Awareness_9405,CUST_0005,Q1_2024_Security_Awareness,2023-02-08,Phone,Opened,False,240,0
CAMP_Threat_Intelligence_Demo_9076,CUST_0005,Threat_Intelligence_Demo,2023-11-18,Direct Mail,Opened,False,282,0
CAMP_Q3_2024_Compliance_Focus_3710,CUST_0006,Q3_2024_Compliance_Focus,2022-04-10,Direct Mail,Registered,True,91,0
CAMP_Archive_Upgrade_Campaign_7482,CUST_0006,Archive_Upgrade_Campaign,2022-07-05,LinkedIn,Registered,False,147,0
CAMP_Upsell_Enterprise_Features_7564,CUST_0006,Upsell_Enterprise_Features,2023-09-07,Direct Mail,Opened,False,378,0
CAMP_Q1_2024_Security_Awareness_4230,CUST_0007,Q1_2024_Security_Awareness,2023-03-09,LinkedIn,Opened,False,258,0
CAMP_Upsell_Enterprise_Features_2389,CUST_0007,Upsell_Enterprise_Features,2023-03-21,LinkedIn,Registered,False,419,0
CAMP_Archive_Upgrade_Campaign_1742,CUST_0008,Archive_Upgrade_Campaign,2022-03-03,LinkedIn,Opened,False,234,0
CAMP_Email_Security_Webinar_Series_9590,CUST_0008,Email_Security_Webinar_Series,2023-03-07,Email,Opened,False,379,0
CAMP_Threat_Intelligence_Demo_7850,CUST_0008,Threat_Intelligence_Demo,2023-06-21,Direct Mail,No Response,False,259,0
CAMP_Email_Security_Webinar_Series_1154,CUST_0009,Email_Security_Webinar_Series,2022-03-12,Webinar,No Response,False,289,0
CAMP_Upsell_Enterprise_Features_8350,CUST_0009,Upsell_Enterprise_Features,2023-08-31,Phone,Clicked,False,113,0
CAMP_Threat_Intelligence_Demo_5299,CUST_0010,Threat_Intelligence_Demo,2023-09-10,Phone,Opened,False,144,0
CAMP_Q2_2024_Feature_Launch_9957,CUST_0011,Q2_2024_Feature_Launch,2023-02-22,Webinar,Registered,True,392,0
CAMP_Q1_2024_Security_Awareness_6696,CUST_0011,Q1_2024_Security_Awareness,2023-03-22,Direct Mail,Clicked,False,141,0
CAMP_Upsell_Enterprise_Features_8858,CUST_0012,Upsell_Enterprise_Features,2024-06-06,Webinar,No Response,True,144,0
CAMP_Q2_2024_Feature_Launch_6955,CUST_0013,Q2_2024_Feature_Launch,2024-05-31,Phone,Opened,False,293,0
CAMP_Archive_Upgrade_Campaign_5593,CUST_0014,Archive_Upgrade_Campaign,2023-09-29,LinkedIn,Opened,True,111,0
CAMP_Email_Security_Webinar_Series_8047,CUST_0014,Email_Security_Webinar_Series,2024-01-20,Direct Mail,Registered,False,254,0
CAMP_Upsell_Enterprise_Features_2853,CUST_0014,Upsell_Enterprise_Features,2024-05-01,Webinar,Opened,True,411,1789
CAMP_Renewal_Campaign_9522,CUST_0014,Renewal_Campaign,2022-12-21,LinkedIn,Clicked,True,303,0
CAMP_Q1_2024_Security_Awareness_5348,CUST_0014,Q1_2024_Security_Awareness,2022-03-20,Email,Opened,False,333,0
CAMP_New_Customer_Onboarding_8917,CUST_0016,New_Customer_Onboarding,2023-07-20,Webinar,Registered,False,261,4937
CAMP_Q2_2024_Feature_Launch_8060,CUST_0016,Q2_2024_Feature_Launch,2022-03-06,Webinar,No Response,False,447,0
CAMP_Q1_2024_Security_Awareness_2840,CUST_0017,Q1_2024_Security_Awareness,2023-05-09,Email,Clicked,False,419,0
CAMP_New_Customer_Onboarding_2447,CUST_0017,New_Customer_Onboarding,2023-02-08,Webinar,Clicked,False,435,0
CAMP_Q3_2024_Compliance_Focus_3013,CUST_0019,Q3_2024_Compliance_Focus,2023-10-28,Webinar,Clicked,False,185,4770
CAMP_Upsell_Enterprise_Features_7954,CUST_0020,Upsell_Enterprise_Features,2022-02-08,Webinar,No Response,True,389,3954
CAMP_Q3_2024_Compliance_Focus_7846,CUST_0020,Q3_2024_Compliance_Focus,2022-09-22,Direct Mail,No Response,True,279,609
CAMP_Archive_Upgrade_Campaign_4213,CUST_0020,Archive_Upgrade_Campaign,2022-06-03,LinkedIn,Clicked,True,131,0
CAMP_Renewal_Campaign_4826,CUST_0021,Renewal_Campaign,2024-03-22,LinkedIn,Clicked,False,417,0
CAMP_Q1_2024_Security_Awareness_5930,CUST_0021,Q1_2024_Security_Awareness,2022-11-02,LinkedIn,No Response,False,153,0
CAMP_Q1_2024_Security_Awareness_8650,CUST_0022,Q1_2024_Security_Awareness,2024-05-31,Direct Mail,Clicked,False,157,0
CAMP_Email_Security_Webinar_Series_6679,CUST_0022,Email_Security_Webinar_Series,2023-08-05,Webinar,Opened,False,240,0
CAMP_New_Customer_Onboarding_1671,CUST_0024,New_Customer_Onboarding,2022-01-09,Phone,Opened,False,196,0
CAMP_Archive_Upgrade_Campaign_4723,CUST_0024,Archive_Upgrade_Campaign,2022-10-16,Direct Mail,Clicked,True,348,0
CAMP_Q1_2024_Security_Awareness_5146,CUST_0025,Q1_2024_Security_Awareness,2023-12-20,Email,Registered,False,156,0
CAMP_Archive_Upgrade_Campaign_6671,CUST_0025,Archive_Upgrade_Campaign,2022-05-12,Direct Mail,No Response,True,334,0
CAMP_Q2_2024_Feature_Launch_2872,CUST_0027,Q2_2024_Feature_Launch,2023-09-25,LinkedIn,Clicked,False,222,3339
CAMP_Q3_2024_Compliance_Focus_2568,CUST_0027,Q3_2024_Compliance_Focus,2024-06-10,Direct Mail,Clicked,False,55,0
CAMP_Archive_Upgrade_Campaign_4050,CUST_0028,Archive_Upgrade_Campaign,2023-08-30,Direct Mail,Registered,False,89,0
CAMP_Archive_Upgrade_Campaign_7435,CUST_0029,Archive_Upgrade_Campaign,2023-09-04,Webinar,Opened,False,406,709
CAMP_Q3_2024_Compliance_Focus_1463,CUST_0029,Q3_2024_Compliance_Focus,2022-12-28,Phone,Opened,True,260,0
CAMP_Upsell_Enterprise_Features_3630,CUST_0029,Upsell_Enterprise_Features,2023-01-28,Webinar,Clicked,False,344,0
CAMP_New_Customer_Onboarding_6649,CUST_0030,New_Customer_Onboarding,2022-03-13,LinkedIn,Clicked,False,427,0
CAMP_Q1_2024_Security_Awareness_6035,CUST_0030,Q1_2024_Security_Awareness,2024-07-25,Direct Mail,No Response,True,64,0
CAMP_Q1_2024_Security_Awareness_7450,CUST_0032,Q1_2024_Security_Awareness,2023-09-17,LinkedIn,No Response,True,473,0
CAMP_Email_Security_Webinar_Series_4917,CUST_0032,Email_Security_Webinar_Series,2022-07-09,LinkedIn,No Response,False,281,0
CAMP_Email_Security_Webinar_Series_9697,CUST_0033,Email_Security_Webinar_Series,2022-07-11,Phone,Clicked,False,478,861
CAMP_Email_Security_Webinar_Series_6774,CUST_0034,Email_Security_Webinar_Series,2024-05-08,LinkedIn,Clicked,True,267,0
CAMP_Q3_2024_Compliance_Focus_3098,CUST_0034,Q3_2024_Compliance_Focus,2022-05-07,Phone,Opened,True,393,0
CAMP_New_Customer_Onboarding_7215,CUST_0034,New_Customer_Onboarding,2022-09-20,Email,Opened,False,395,0
CAMP_Upsell_Enterprise_Features_5823,CUST_0034,Upsell_Enterprise_Features,2022-09-10,LinkedIn,No Response,False,457,0
CAMP_Renewal_Campaign_6196,CUST_0035,Renewal_Campaign,2023-04-20,LinkedIn,Opened,False,235,0
CAMP_Q3_2024_Compliance_Focus_1777,CUST_0035,Q3_2024_Compliance_Focus,2022-08-08,Webinar,Opened,False,204,4639
CAMP_Email_Security_Webinar_Series_4509,CUST_0036,Email_Security_Webinar_Series,2022-02-18,Phone,Clicked,False,147,0
CAMP_Archive_Upgrade_Campaign_2741,CUST_0036,Archive_Upgrade_Campaign,2024-06-27,Direct Mail,No Response,False,107,0
CAMP_Q1_2024_Security_Awareness_6469,CUST_0037,Q1_2024_Security_Awareness,2023-04-17,Webinar,Clicked,True,389,0
CAMP_Threat_Intelligence_Demo_7733,CUST_0037,Threat_Intelligence_Demo,2022-04-05,Phone,Clicked,False,172,0
CAMP_Q3_2024_Compliance_Focus_7598,CUST_0037,Q3_2024_Compliance_Focus,2023-08-26,Direct Mail,No Response,False,475,0
CAMP_Q3_2024_Compliance_Focus_7477,CUST_0038,Q3_2024_Compliance_Focus,2022-05-10,Direct Mail,Opened,True,465,0
CAMP_New_Customer_Onboarding_8440,CUST_0038,New_Customer_Onboarding,2024-05-23,Webinar,Opened,True,463,0
CAMP_Q1_2024_Security_Awareness_2142,CUST_0038,Q1_2024_Security_Awareness,2023-12-23,Email,No Response,False,345,0
CAMP_Q2_2024_Feature_Launch_5566,CUST_0038,Q2_2024_Feature_Launch,2023-12-03,Email,Clicked,False,266,0
CAMP_Email_Security_Webinar_Series_5588,CUST_0038,Email_Security_Webinar_Series,2022-05-23,LinkedIn,Clicked,False,195,0
CAMP_New_Customer_Onboarding_1811,CUST_0040,New_Customer_Onboarding,2022-07-03,Direct Mail,Clicked,False,236,0
CAMP_Q1_2024_Security_Awareness_4868,CUST_0040,Q1_2024_Security_Awareness,2023-05-01,Email,Clicked,True,476,0
CAMP_Q2_2024_Feature_Launch_7426,CUST_0041,Q2_2024_Feature_Launch,2022-03-04,Direct Mail,Clicked,False,500,3749
CAMP_Upsell_Enterprise_Features_9947,CUST_0041,Upsell_Enterprise_Features,2022-08-11,Webinar,No Response,False,453,0
CAMP_Upsell_Enterprise_Features_6437,CUST_0042,Upsell_Enterprise_Features,2023-07-25,Email,Registered,False,133,0
CAMP_Threat_Intelligence_Demo_9038,CUST_0044,Threat_Intelligence_Demo,2024-02-25,Email,Registered,False,159,0
CAMP_Upsell_Enterprise_Features_5824,CUST_0044,Upsell_Enterprise_Features,2023-12-05,Direct Mail,Registered,False,417,0
CAMP_Renewal_Campaign_4255,CUST_0044,Renewal_Campaign,2022-01-11,Phone,Clicked,False,255,0
CAMP_Archive_Upgrade_Campaign_8377,CUST_0044,Archive_Upgrade_Campaign,2023-07-20,Email,Registered,True,329,0
CAMP_Renewal_Campaign_2049,CUST_0045,Renewal_Campaign,2022-07-02,Webinar,No Response,False,85,0
CAMP_Email_Security_Webinar_Series_9229,CUST_0046,Email_Security_Webinar_Series,2023-08-22,LinkedIn,Clicked,True,491,0
CAMP_Q2_2024_Feature_Launch_1767,CUST_0046,Q2_2024_Feature_Launch,2024-05-25,Email,Clicked,False,216,0
CAMP_Archive_Upgrade_Campaign_3592,CUST_0047,Archive_Upgrade_Campaign,2022-05-16,Email,Clicked,True,176,0
CAMP_Renewal_Campaign_2867,CUST_0047,Renewal_Campaign,2023-03-17,Webinar,Opened,False,52,0
CAMP_Q2_2024_Feature_Launch_4932,CUST_0047,Q2_2024_Feature_Launch,2022-11-18,Direct Mail,Clicked,False,395,0
CAMP_Q1_2024_Security_Awareness_2635,CUST_0047,Q1_2024_Security_Awareness,2024-03-26,LinkedIn,Registered,True,324,0
CAMP_Upsell_Enterprise_Features_7988,CUST_0047,Upsell_Enterprise_Features,2023-12-12,Phone,Opened,False,92,0
CAMP_Email_Security_Webinar_Series_9138,CUST_0047,Email_Security_Webinar_Series,2023-02-09,Email,Opened,False,71,0
CAMP_Email_Security_Webinar_Series_2742,CUST_0051,Email_Security_Webinar_Series,2022-03-01,Email,Opened,False,151,0
CAMP_Renewal_Campaign_8834,CUST_0051,Renewal_Campaign,2024-01-10,Direct Mail,Opened,False,335,0
CAMP_Q1_2024_Security_Awareness_7476,CUST_0051,Q1_2024_Security_Awareness,2022-03-03,Email,Opened,False,144,0
CAMP_Upsell_Enterprise_Features_7777,CUST_0052,Upsell_Enterprise_Features,2024-06-12,Phone,Clicked,False,470,0
CAMP_Email_Security_Webinar_Series_9828,CUST_0052,Email_Security_Webinar_Series,2022-10-16,Direct Mail,No Response,True,388,4697
CAMP_Q2_2024_Feature_Launch_6964,CUST_0053,Q2_2024_Feature_Launch,2022-05-26,Webinar,No Response,False,318,0
CAMP_Upsell_Enterprise_Features_2647,CUST_0053,Upsell_Enterprise_Features,2022-12-16,Direct Mail,No Response,False,52,0
CAMP_Email_Security_Webinar_Series_9871,CUST_0053,Email_Security_Webinar_Series,2023-08-28,Phone,Opened,False,262,1527
CAMP_Renewal_Campaign_7966,CUST_0053,Renewal_Campaign,2022-01-10,Phone,Registered,False,214,0
CAMP_Archive_Upgrade_Campaign_5270,CUST_0055,Archive_Upgrade_Campaign,2022-01-23,Phone,Clicked,False,223,3580
CAMP_New_Customer_Onboarding_6626,CUST_0055,New_Customer_Onboarding,2022-03-23,Phone,Opened,False,195,0
CAMP_Q3_2024_Compliance_Focus_4969,CUST_0055,Q3_2024_Compliance_Focus,2023-04-20,Email,Clicked,False,296,0
CAMP_Renewal_Campaign_3590,CUST_0057,Renewal_Campaign,2023-11-11,Webinar,Opened,True,449,0
CAMP_Q2_2024_Feature_Launch_3588,CUST_0057,Q2_2024_Feature_Launch,2024-03-07,Webinar,Opened,False,331,0
CAMP_Archive_Upgrade_Campaign_9757,CUST_0057,Archive_Upgrade_Campaign,2023-06-16,Email,Clicked,False,394,0
CAMP_Q3_2024_Compliance_Focus_8268,CUST_0057,Q3_2024_Compliance_Focus,2022-10-08,Phone,Opened,True,170,998
CAMP_Renewal_Campaign_8902,CUST_0058,Renewal_Campaign,2023-11-06,LinkedIn,No Response,True,446,0
CAMP_Q2_2024_Feature_Launch_6827,CUST_0059,Q2_2024_Feature_Launch,2022-12-08,Webinar,Opened,False,121,0
CAMP_Q2_2024_Feature_Launch_4654,CUST_0060,Q2_2024_Feature_Launch,2022-03-10,LinkedIn,Opened,False,418,0
CAMP_Threat_Intelligence_Demo_8585,CUST_0060,Threat_Intelligence_Demo,2024-05-16,LinkedIn,Opened,False,388,0
CAMP_Upsell_Enterprise_Features_9667,CUST_0061,Upsell_Enterprise_Features,2022-12-02,Phone,Registered,False,286,4792
CAMP_Archive_Upgrade_Campaign_7775,CUST_0061,Archive_Upgrade_Campaign,2024-02-29,Webinar,Clicked,False,286,0
CAMP_Q2_2024_Feature_Launch_4087,CUST_0061,Q2_2024_Feature_Launch,2022-12-05,LinkedIn,Opened,False,422,0
CAMP_Threat_Intelligence_Demo_3306,CUST_0061,Threat_Intelligence_Demo,2022-08-19,Webinar,Opened,False,496,532
CAMP_Renewal_Campaign_6932,CUST_0062,Renewal_Campaign,2022-08-02,LinkedIn,Opened,True,346,0
CAMP_Q3_2024_Compliance_Focus_8840,CUST_0062,Q3_2024_Compliance_Focus,2022-07-25,LinkedIn,Opened,False,143,0
CAMP_New_Customer_Onboarding_6521,CUST_0063,New_Customer_Onboarding,2024-06-05,Phone,Clicked,False,288,0
CAMP_Threat_Intelligence_Demo_5236,CUST_0063,Threat_Intelligence_Demo,2024-02-23,Email,Opened,False,269,458
CAMP_New_Customer_Onboarding_7640,CUST_0064,New_Customer_Onboarding,2023-09-18,Email,Opened,False,357,0
CAMP_Email_Security_Webinar_Series_5339,CUST_0064,Email_Security_Webinar_Series,2023-06-21,Webinar,Opened,False,377,0
CAMP_Q2_2024_Feature_Launch_1419,CUST_0064,Q2_2024_Feature_Launch,2024-02-15,Direct Mail,Registered,False,467,0
CAMP_Renewal_Campaign_8132,CUST_0064,Renewal_Campaign,2022-05-14,LinkedIn,Opened,False,373,0
CAMP_Q1_2024_Security_Awareness_4447,CUST_0064,Q1_2024_Security_Awareness,2022-08-21,Email,Clicked,False,225,0
CAMP_Upsell_Enterprise_Features_2587,CUST_0065,Upsell_Enterprise_Features,2023-06-30,Webinar,Opened,False,323,0
CAMP_Email_Security_Webinar_Series_9796,CUST_0065,Email_Security_Webinar_Series,2023-12-04,Email,Opened,False,89,0
CAMP_Q1_2024_Security_Awareness_8686,CUST_0065,Q1_2024_Security_Awareness,2023-08-08,Phone,Opened,False,385,0
CAMP_Archive_Upgrade_Campaign_5608,CUST_0066,Archive_Upgrade_Campaign,2023-11-23,Phone,No Response,False,185,2939
CAMP_Renewal_Campaign_1213,CUST_0067,Renewal_Campaign,2024-04-18,LinkedIn,Opened,True,270,0
CAMP_Threat_Intelligence_Demo_6982,CUST_0067,Threat_Intelligence_Demo,2024-04-02,LinkedIn,Registered,False,258,478
CAMP_Email_Security_Webinar_Series_7396,CUST_0068,Email_Security_Webinar_Series,2022-06-04,Direct Mail,Opened,False,396,0
CAMP_Renewal_Campaign_1923,CUST_0068,Renewal_Campaign,2022-08-07,Email,Registered,False,109,0
CAMP_Q3_2024_Compliance_Focus_1185,CUST_0068,Q3_2024_Compliance_Focus,2023-03-17,Email,Registered,False,342,0
CAMP_Threat_Intelligence_Demo_7075,CUST_0068,Threat_Intelligence_Demo,2023-08-23,LinkedIn,Clicked,False,279,0
CAMP_Upsell_Enterprise_Features_2308,CUST_0068,Upsell_Enterprise_Features,2023-07-20,LinkedIn,Opened,True,190,0
CAMP_Email_Security_Webinar_Series_8335,CUST_0069,Email_Security_Webinar_Series,2024-06-23,LinkedIn,Opened,False,474,0
CAMP_Upsell_Enterprise_Features_1908,CUST_0069,Upsell_Enterprise_Features,2024-01-17,Phone,Clicked,False,482,2428
CAMP_Renewal_Campaign_6771,CUST_0069,Renewal_Campaign,2022-08-14,Webinar,Clicked,False,241,0
CAMP_Archive_Upgrade_Campaign_5769,CUST_0071,Archive_Upgrade_Campaign,2022-12-27,Email,Opened,False,206,0
CAMP_Email_Security_Webinar_Series_2859,CUST_0072,Email_Security_Webinar_Series,2024-05-05,Direct Mail,Opened,False,314,0
CAMP_Q3_2024_Compliance_Focus_7581,CUST_0072,Q3_2024_Compliance_Focus,2024-05-13,Direct Mail,Opened,True,238,0
CAMP_Q1_2024_Security_Awareness_1441,CUST_0072,Q1_2024_Security_Awareness,2023-10-26,Direct Mail,No Response,False,491,0
CAMP_New_Customer_Onboarding_6291,CUST_0073,New_Customer_Onboarding,2024-02-03,Direct Mail,Registered,True,365,0
CAMP_Q3_2024_Compliance_Focus_2854,CUST_0073,Q3_2024_Compliance_Focus,2023-11-15,Webinar,Clicked,False,452,0
CAMP_Renewal_Campaign_7850,CUST_0073,Renewal_Campaign,2022-09-03,Phone,Opened,False,97,0
CAMP_Threat_Intelligence_Demo_9354,CUST_0073,Threat_Intelligence_Demo,2022-02-18,Webinar,Registered,False,254,0
CAMP_Archive_Upgrade_Campaign_3644,CUST_0073,Archive_Upgrade_Campaign,2022-05-24,LinkedIn,Opened,False,178,0
CAMP_Q1_2024_Security_Awareness_6425,CUST_0074,Q1_2024_Security_Awareness,2022-06-09,Webinar,Clicked,False,404,349
CAMP_Q2_2024_Feature_Launch_7527,CUST_0074,Q2_2024_Feature_Launch,2022-03-19,Direct Mail,No Response,False,407,2033
CAMP_Archive_Upgrade_Campaign_4280,CUST_0074,Archive_Upgrade_Campaign,2022-05-28,Direct Mail,Clicked,False,196,0
CAMP_Q3_2024_Compliance_Focus_7357,CUST_0074,Q3_2024_Compliance_Focus,2023-06-18,Phone,Clicked,False,421,0
CAMP_Upsell_Enterprise_Features_2086,CUST_0074,Upsell_Enterprise_Features,2022-05-09,Email,No Response,False,179,0
CAMP_Q2_2024_Feature_Launch_5999,CUST_0076,Q2_2024_Feature_Launch,2023-12-03,LinkedIn,Opened,False,388,0
CAMP_Archive_Upgrade_Campaign_2566,CUST_0077,Archive_Upgrade_Campaign,2022-01-16,LinkedIn,Opened,False,498,0
CAMP_Q2_2024_Feature_Launch_4510,CUST_0077,Q2_2024_Feature_Launch,2023-07-05,LinkedIn,No Response,True,380,0
CAMP_Q1_2024_Security_Awareness_7111,CUST_0077,Q1_2024_Security_Awareness,2023-05-06,Phone,Opened,False,355,0
CAMP_Q3_2024_Compliance_Focus_7744,CUST_0077,Q3_2024_Compliance_Focus,2023-01-03,Direct Mail,Opened,True,126,0
CAMP_Email_Security_Webinar_Series_2978,CUST_0078,Email_Security_Webinar_Series,2023-12-12,LinkedIn,Opened,True,473,1073
CAMP_Upsell_Enterprise_Features_8010,CUST_0078,Upsell_Enterprise_Features,2022-08-27,Phone,Opened,False,482,0
CAMP_New_Customer_Onboarding_2682,CUST_0079,New_Customer_Onboarding,2024-04-29,Webinar,Clicked,True,125,0
CAMP_Threat_Intelligence_Demo_5306,CUST_0079,Threat_Intelligence_Demo,2022-01-24,LinkedIn,Registered,False,210,0
CAMP_Threat_Intelligence_Demo_2392,CUST_0081,Threat_Intelligence_Demo,2023-03-14,Webinar,Opened,True,79,0
CAMP_Renewal_Campaign_9883,CUST_0082,Renewal_Campaign,2022-03-02,Direct Mail,Opened,False,336,0
CAMP_Q2_2024_Feature_Launch_9906,CUST_0082,Q2_2024_Feature_Launch,2022-08-29,Direct Mail,Registered,False,410,2892
CAMP_Q1_2024_Security_Awareness_2030,CUST_0083,Q1_2024_Security_Awareness,2023-11-08,LinkedIn,Opened,False,436,0
