activity_id,customer_id,activity_date,activity_type,sales_rep,duration_minutes,outcome,next_steps
ACT_CUST_0001_1,CUST_0001,2022-06-03,Closing Call,rep_3,115,Negative,Final approval
ACT_CUST_0001_2,CUST_0001,2022-06-19,Proposal Sent,rep_3,117,Positive,Technical review
ACT_CUST_0001_3,CUST_0001,2022-06-10,Negotiation,rep_3,16,Neutral,Technical review
ACT_CUST_0001_4,CUST_0001,2022-05-28,Follow-up Call,rep_3,26,Positive,Final approval
ACT_CUST_0001_5,CUST_0001,2022-06-01,Demo,rep_3,85,Negative,Budget approval
ACT_CUST_0001_6,CUST_0001,2022-05-31,Follow-up Call,rep_3,42,Neutral,Technical review
ACT_CUST_0001_7,CUST_0001,2022-05-24,Closing Call,rep_3,102,Negative,Send proposal
ACT_CUST_0002_1,CUST_0002,2023-09-06,Follow-up Call,rep_8,41,Positive,Send proposal
ACT_CUST_0002_2,CUST_0002,2023-10-13,Follow-up Call,rep_8,34,Neutral,Schedule demo
ACT_CUST_0002_3,CUST_0002,2023-08-21,Closing Call,rep_8,99,Positive,Schedule demo
ACT_CUST_0002_4,CUST_0002,2023-10-05,Demo,rep_8,76,Positive,Technical review
ACT_CUST_0002_5,CUST_0002,2023-09-30,Negotiation,rep_8,50,Positive,Contract terms
ACT_CUST_0002_6,CUST_0002,2023-09-10,Contract Review,rep_8,43,Neutral,Send proposal
ACT_CUST_0003_1,CUST_0003,2022-08-27,Negotiation,rep_14,19,Positive,Budget approval
ACT_CUST_0003_2,CUST_0003,2022-08-12,Contract Review,rep_14,30,Neutral,Budget approval
ACT_CUST_0003_3,CUST_0003,2022-08-19,Closing Call,rep_14,16,Positive,Send proposal
ACT_CUST_0003_4,CUST_0003,2022-08-22,Negotiation,rep_14,27,Positive,Contract terms
ACT_CUST_0003_5,CUST_0003,2022-08-16,Proposal Sent,rep_14,85,Positive,Technical review
ACT_CUST_0003_6,CUST_0003,2022-08-26,Negotiation,rep_14,58,Positive,Budget approval
ACT_CUST_0003_7,CUST_0003,2022-08-24,Proposal Sent,rep_14,68,Neutral,Technical review
ACT_CUST_0003_8,CUST_0003,2022-08-21,Contract Review,rep_14,50,Positive,Contract terms
ACT_CUST_0003_9,CUST_0003,2022-08-10,Negotiation,rep_14,102,Positive,Schedule demo
ACT_CUST_0003_10,CUST_0003,2022-08-17,Proposal Sent,rep_14,86,Positive,Budget approval
